Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.186.152-0,FORMACIÓN,KOSMO,SPA,2025-07-24,,,
MAWIZA,ASESORÍA,TECNO-,,,,,
79696,77.770.671-3,2025-07-24,,,,,
ALUMINIOS,TRANGOLAO,E,,,,,
79697,76.767.326-4,2025-07-24,,,,,
79698,77.836.514-6,INFINITY,PHARMA,SPA,2025-07-24,,
79699,77.770.933-K,N,Y,D,SERVICIOS,SPA,2025-07-24
VENTA,Y,SERVICIO,DE,,,,
79700,76.768.573-4,MANTENIMIENTO,DE,2025-07-24,,,
79701,83.002.400-K,NOVARTIS,CHILE,S,A,2025-07-24,
79702,77.771.361-2,RESTAURADORA,2025-07-24,,,,
79703,77.780.529-0,2025-07-24,,,,,
79704,77.758.062-0,IMPLEMENMAQ,SPA,2025-07-24,,,
79705,77.725.995-4,INGENIERÍA,IN-DATA,2025-07-24,,,
