Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,,,
77.384.122-5,FK,SPA,2025-07-24,,,,
71575,77.941.283-0,SOCIEDAD,LARA,CARVAJAL,SPA,2025-07-24,
71576,77.642.645-8,MANADA,SPA,2025-07-24,,,
71577,77.451.143-1,VENECORTINAS,LIMITADA,2025-07-24,,,
71578,76.366.752-9,SOCIEDAD,COMERCIAL,DECOEVENT,LIMITADA,2025-07-24,
71579,77.385.213-8,FARMAPLUS,SPA,2025-07-24,,,
71580,76.925.899-K,IGENIERÍA,Y,CONSTRUCCIÓN,EVIGAS,SPA,2025-07-24
71581,77.451.262-4,GAMMA,CONSTRUCCIONES,SPA,2025-07-24,,
71582,76.937.361-6,FERRETERIA,LAS,ESQUINAS,LIMITADA,2025-07-24,
71583,76.740.630-4,MIELE,ELECTRODOMESTICOS,LIMITADA,2025-07-24,,
71584,76.926.205-9,HOME,AV,SPA,2025-07-24,,
71585,77.346.779-K,CONSTRUCCIONES,TERMICAS,SYB,SPA,2025-07-24,
