Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,,,
71132,VENTA,DE,INSUMOS,MÉDICOS,Y,DENTALES,
CLAUDIA,ANGELICA,MALLA,FUENTES,E.I.R.L.,,,
71133,76.900.744-K,MAQUINARIAS,Y,CONSTRUCCIÓNES,GARCÉS,SPA,2025-07-24
INGENIERÍA,Y,COMERCIALIZADORA,VALPOTK,,,,
71134,77.422.613-3,2025-07-24,,,,,
"COMERCIALIZADORA,",SERVICIO,DE,,,,,
71135,76.909.176-9,2025-07-24,,,,,
RADIODIFUSIÒN,Y,COMU,,,,,
71136,77.924.589-6,VIRTUSDENT,SPA,2025-07-24,,,
SERVICIOS,DE,INGENIERÍA,INDUSTRIAL,MANAM,,,
71137,76.721.587-8,2025-07-24,,,,,
JUAN,IGNACIO,CHACON,SERVICIOS,,,,
71138,77.628.929-9,2025-07-24,,,,,
71139,77.326.240-3,HIDROCLIMA,Y,COMPANIA,LIMITADA,2025-07-24,
71140,77.442.739-2,AIKE,PATAGONIA,SPA,2025-07-24,,
71141,77.422.798-9,DALYCEF,SPA,2025-07-24,,,
71142,76.909.603-5,ESTACION,ROCK,SPA,2025-07-24,,
71143,77.925.385-6,EMPRESA,DE,ALIMENTOS,SPA,2025-07-24,
