Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
94453,JP,DISEÑO,Y,,,
JARDINES,MOISES,ELIAS,,,,
94454,77.885.859-2,NUÑEZ,NORAMBUENA,E.I.,2025-07-24,
SERVICIOS,DE,FILTROS,,,,
94455,77.886.149-6,INDUSTRIALES,Y,2025-07-24,,
94456,77.886.245-K,ARBITROS,DE,SANTIAGO,2025-07-24,
94457,77.886.328-6,AUTOMATIZACION,Y,2025-07-24,,
94458,77.886.421-5,2025-07-24,,,,
94459,77.887.455-5,2025-07-24,,,,
CENTRO,DE,"TURISMO,",,,,
94460,77.887.759-7,Y,OTROS,SERVICIOS,2025-07-24,
MIHA,ERA,PONT,LILLO,E.I.,,
94461,77.888.543-3,2025-07-24,,,,
94462,77.889.251-0,DISTRIBUIDORA,RICARDO,2025-07-24,,
QUIROZ,C.,SPA,,,,
