Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
77.725.635-1,CONSTRUCCIÓN,LOS,2025-07-24,,
73883,77.575.483-4,2025-07-24,,,
73884,78.032.044-3,SERVICIOS,2025-07-24,,
Y,COMERCIALIZACION,DE,,,
73885,76.855.635-0,2025-07-24,,,
ARTICULOS,DE,ASEO,Y,,
73886,77.575.495-8,MST,PISOS,SPA,2025-07-24
73887,77.505.276-7,PROMOSTOCK,SPA,2025-07-24,
73888,77.460.405-7,B-LUCKY,SPA,2025-07-24,
73889,78.032.396-5,2025-07-24,,,
73890,77.575.577-6,2025-07-24,,,
73891,77.505.999-0,FUMIHOME,SPA,2025-07-24,
ENERGY,PARTS,CHILE,,,
73892,77.020.631-6,2025-07-24,,,
