Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
58919,MARCO,LEIVA,COMUNICACIONES,,
58920,76.338.243-5,KBD,SpA.,2025-07-24,
LANDSKAP,MEDIO,AMBIENTE,,,
58921,76.842.326-1,2025-07-24,,,
PAISAJE,Y,EDUCACION,SPA,,
SOCIEDAD,COMERCIAL,PATAGONICA,,,
58922,76.897.714-3,2025-07-24,,,
58923,76.915.717-4,METALUR,CONSTRUCCIÓN,SPA,2025-07-24
58924,76.933.342-8,SCHIAVON,ING,SPA,2025-07-24
CHILECONSULT,+,AUDIMEK,,,
58925,76.338.430-6,AUDITORES,CONSULTORES,2025-07-24,
58926,76.915.858-8,VILLUM,DISEÑO,LIMITADA,2025-07-24
58927,76.102.058-7,Achicpla,Ltda.,2025-07-24,
58928,76.842.420-9,CLINITEST,LIMITADA,2025-07-24,
58929,77.118.079-5,2025-07-24,,,
58930,76.843.909-5,CATGER,SPA,2025-07-24,
