Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.045.325-9,AROGONZA,SPA,2025-07-24,,,
62189,96.501.500-0,2025-07-24,,,,
62190,76.238.359-4,Comercial,2025-07-24,,,
Ingenieria,Construcción,y,,,,
62191,76.487.515-K,2025-07-24,,,,
62192,76.958.487-0,INVERSIONES,ERRE,SPA,2025-07-24,
62193,77.045.674-6,CONSTRUCTION,&,2025-07-24,,
62194,96.513.310-0,2025-07-24,,,,
62195,78.188.452-9,2025-07-24,,,,
62196,7.858.246-4,2025-07-24,,,,
62197,76.959.336-5,2025-07-24,,,,
62198,96.519.830-K,BPH,S.A.,2025-07-24,,
