Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
98210,MERCER,CONSULTING,,,,,
98211,77.879.155-2,2025-07-24,,,,,
98212,77.879.206-0,TRANSPORTES,G,&,V,SPA,2025-07-24
98213,78.736.790-9,BIO,SISTEM,SPA,2025-07-24,,
98214,77.879.271-0,COMERCIAL,M&M,SPA,2025-07-24,,
98215,78.747.370-9,AMFFAL,SPA,2025-07-24,,,
SOC,DE,INVERSIONES,,,,,
98216,77.880.220-1,2025-07-24,,,,,
98217,77.880.683-5,2025-07-24,,,,,
SOCIEDAD,INGENIERIA,EN,,,,,
98218,78.751.060-4,GESTION,Y,CAPACITACION,2025-07-24,,
JERIA,Y,CIA,CORREDORES,,,,
98219,78.760.010-7,2025-07-24,,,,,
DE,SEGUROS,LIMITADA,,,,,
SOC,COMERCIAL,NICOLODI,,,,,
98220,78.789.570-0,2025-07-24,,,,,
