Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
66479,SOCIEDAD,COMERCIAL,,,
SOCIEDAD,DE,MEDICOS,,,
66480,77.404.191-5,2025-07-24,,,
66481,77.218.785-8,YUTONG,CHILE,SPA,2025-07-24
66482,77.120.814-2,SUCVISUAL,SPA,2025-07-24,
66483,76.763.275-4,2025-07-24,,,
FABRICA,DE,MUEBLES,,,
66484,77.219.002-6,2025-07-24,,,
FARAON,GOURMET,Y,,,
66485,77.120.996-3,2025-07-24,,,
66486,76.709.692-5,2025-07-24,,,
66487,77.404.338-1,2025-07-24,,,
66488,77.219.215-0,2025-07-24,,,
EMPRESA,INDIVIDUAL,DE,,,
66489,77.200.490-7,Aristo,Consultores,SpA,2025-07-24
