Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.463.122-4,AUTOGRAPH,SPA,2025-07-24,,,,,
71658,76.939.480-K,JOSE,LUIS,PAVEZ,Y,CIA,LTDA,2025-07-24
71659,77.496.323-5,COMERCIALIZADORA,LOS,DEL,MAR,SPA,2025-07-24,
71660,77.463.413-4,TRANSPORTES,JEZPARC,SPA,2025-07-24,,,
71661,76.940.895-9,QUILA,INGENIERÍA,Y,CONSTRUCCIÓN,SPA,2025-07-24,
71662,77.386.659-7,TROMÜ,ARQUITECTURA,LIMITADA,2025-07-24,,,
COMERCIALIZADORA,E,IMPORTADORA,ALECA,,,,,
71663,77.463.609-9,2025-07-24,,,,,,
71664,77.349.581-5,BBF,SERVICIOS,Y,ASESORÍAS,SPA,2025-07-24,
71665,77.943.620-9,PURIFICADORA,DE,AGUA,FORTALEZA,LIMITADA,2025-07-24,
COMPRA,Y,VENTA,ARTICULOS,MONICA,VICTORIA,,,
71666,77.388.367-K,2025-07-24,,,,,,
MALDONADO,RODRIGUEZ,E.I.R.L.,,,,,,
71667,76.372.190-6,GONZALEZ,Y,SCHUMACHER,LIMITADA,2025-07-24,,
71668,77.464.695-7,ADELANTE,GRUPO,EMPRESARIAL,SPA,2025-07-24,,
