Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
77.488.313-4,CLEANINGSTAR,SPA,2025-07-24,,,,,
71469,76.920.495-4,OPTICA,REFLEJOS,SPA,2025-07-24,,,
COFFES,Y,BANQUETERIA,SONIA,DEL,PILAR,LEMA,,
71470,76.735.633-1,2025-07-24,,,,,,
71471,77.352.377-0,V&V,SERVICIOS,MÉDICOS,SPA,2025-07-24,,
71472,76.930.363-4,SOCIEDAD,COMERCIAL,CONSTRUCOLOR,LTDA.,2025-07-24,,
71473,77.488.901-9,MIREYA,ELIZABETH,TAPIA,GODOY,E.I.R.L.,2025-07-24,
ASESORIAS,ANDRÉS,SALOMÓN,GARDEL,BRAVO,,,,
71474,77.342.994-4,2025-07-24,,,,,,
71475,76.735.665-K,COMERCIAL,Y,NEGOCIOS,VICTOR,JILBERTO,SPA,2025-07-24
71476,77.453.253-6,TRANSPORTES,TRANSMAGU,SPA,2025-07-24,,,
71477,77.352.911-6,ISIMAR,SPA,2025-07-24,,,,
71478,77.639.997-3,GRUPO,COCINA,PONIENTE,SPA,2025-07-24,,
CONSTRUCTORA,ALADIN,HAROLDO,MORALES,,,,,
71479,76.736.000-2,2025-07-24,,,,,,
