Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
SOCIEDAD,AGRICOLA,Y,,,
78.107.476-4,GANADERA,S,Y,M,2025-07-24
CRISIL,INGENIERÍA,Y,,,
87132,78.156.969-0,2025-07-24,,,
87133,77.076.836-5,PROJECTAR,SPA,2025-07-24,
87134,78.157.465-1,EUNOIA,PRO,SPA,2025-07-24
87135,78.089.437-7,INVERSIONES,PABLO,BM,2025-07-24
87136,78.107.932-4,TODO,PORTÓN,LIMITADA,2025-07-24
87137,78.157.715-4,ELECTRICAIR,SPA,2025-07-24,
87138,78.113.467-8,2025-07-24,,,
GESTIÓN,Y,DESARROLLO,,,
87139,78.089.724-4,DE,PERSONAS,VICENTE,2025-07-24
CORREA,ESCUDERO,E.I.R.,,,
87140,78.044.061-9,FOXAUDIO,SPA,2025-07-24,
87141,78.090.142-K,2025-07-24,,,
