Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
SOUTH,CARGO,CHILE,TRANSPORTE,Y,LOGISTICA,,,
71610,77.451.704-9,TORRES,SPA,2025-07-24,,,,
71611,77.359.390-6,FERNANDO,DIAZ,Y,COMPANIA,LIMITADA,2025-07-24,
71612,77.942.732-3,EMM,TELECOMUNICACIONES,SPA,2025-07-24,,,
"CONSULTORIA,",INGENIERIA,Y,MEDIO,AMBIENTE,,,,
71613,76.926.303-9,2025-07-24,,,,,,
71614,77.457.740-8,SOC,SERVICIOS,MEDICOS,SAN,CAMILO,LIMITADA,2025-07-24
71615,77.359.583-6,GENIA,CHILE,SPA,2025-07-24,,,
RUBEN,PABLO,ARRIAGADA,MUÑOZ,SERVICIOS,A,,,
71616,76.369.616-2,2025-07-24,,,,,,
DERBENGUI,ASESORIAS,Y,SERVICIOS,,,,,
71617,77.943.109-6,2025-07-24,,,,,,
LIMPIEZA,INTEGRAL,FRANCISCO,GARCIA,,,,,
71618,76.927.052-3,2025-07-24,,,,,,
EMPRESA,INDIVIDUAL,DE,RESPONSABILI,,,,,
71619,77.457.766-1,DL,ELECTRONIC,SPA,2025-07-24,,,
SERVICIOS,PROFESIONALES,DE,ATENCIÓN,EN,,,,
71620,77.360.063-5,2025-07-24,,,,,,
