Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ID,RUT,Proveedor,Razón,Social,,,,,
77.626.583-7,TEJEDURIA,CARMIN,SERVICIOS,TEXTILES,SPA,2025-07-24,,,
71061,76.907.441-4,HURAKAN,SPA,2025-07-24,,,,,
71062,77.416.670-K,Envasadora,Aysen,Ltda.,2025-07-24,,,,
71063,76.715.479-8,CONSTRUCTORA,CARDINALES,SPA,2025-07-24,,,,
71064,76.899.679-2,COMERCIAL,FRANCO,FABBRI,LTDA,2025-07-24,,,
71065,77.332.636-3,ESCUELA,DE,NAVEGACIÓN,AÉREA,SPA,2025-07-24,,
71066,76.342.793-5,Jose,luis,muñoz,muñoz,e.i.r.l,2025-07-24,,
71067,77.323.207-5,LUBRICENTRO,Y,VULCANIZACION,GBP,SPA,2025-07-24,,
71068,76.716.007-0,ARRIENDO,DE,VAJILLA,Y,MENAJES,BYV,SPA,2025-07-24
SOCIEDAD,"CONSTRUCTORA,",PRESTADORA,DE,,,,,,
71069,77.355.393-9,SERVICIOS,E,INMOBILIARIA,LOBOS,Y,LOBOS,2025-07-24,
71070,77.439.546-6,ELECTRICIDAD,MAFARO,SPA,2025-07-24,,,,
71071,76.342.944-K,INNOVACCIÓN,CHILE,EIRL,2025-07-24,,,,
