Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
76.682.250-9,INGENIEROS,CONSULTORES,2025-07-24,,,,
77832,77.756.508-7,2025-07-24,,,,,
77833,77.154.320-0,RODRIGUEZ,Y,QUEZADA,2025-07-24,,
77834,77.700.123-K,GEMINIS,SPA,2025-07-24,,,
77835,77.748.549-0,2025-07-24,,,,,
77836,77.700.614-2,INSUMOS,MEDICOS,ENFISA,2025-07-24,,
77837,77.748.587-3,COMERCIAL,ILLANES,SPA,2025-07-24,,
77838,78.906.300-1,2025-07-24,,,,,
COMERCIAL,E,INVERSIONES,,,,,
77839,77.671.116-0,2025-07-24,,,,,
ENTRE,PIELES,SPA,,,,,
77840,76.682.467-6,M,&,M,DISTRIBUCION,SPA,2025-07-24
77841,77.672.116-6,REVIVE,SODA,SPA,2025-07-24,,
