Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
76.998.414-3,SERVICIOS,ESPECIALES,2025-07-24,,,,
63347,77.258.607-8,GISSMA,SPA,2025-07-24,,,
63348,77.606.315-0,FERRECOF,SPA,2025-07-24,,,
63349,77.086.505-0,DGEN,SPA,2025-07-24,,,
Sociedad,Comercial,G,&,C,,,
63350,76.293.445-0,2025-07-24,,,,,
63351,77.606.419-K,RUKIAN,TECH,SPA,2025-07-24,,
63352,79.649.140-K,Automotores,Gildemeister,2025-07-24,,,
63353,77.086.604-9,2025-07-24,,,,,
63354,77.028.253-5,LA,MAGIA,DEL,SUR,SPA,2025-07-24
SERVITECA,Y,SERVICIOS,,,,,
63355,77.607.372-5,AEREOS,RAUL,ENRIQUE,2025-07-24,,
ATALA,MATHIEU,SPA,,,,,
Construccion,e,Ingenieria,,,,,
63356,76.539.405-8,2025-07-24,,,,,
Jorge,Cardenas,Rutherfor,,,,,
