Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,,,
77.374.733-4,TRAVELING,SHOP,SPA,2025-07-24,,,
71433,77.451.893-2,GO,MARK,SPA,2025-07-24,,
71434,77.639.445-9,LA,FORTUNA,SPA,2025-07-24,,
71435,77.933.626-3,BIENE,SPA,2025-07-24,,,
TRANSPORTES,DE,PASAJEROS,HG,HECTOR,,,
71436,77.339.072-K,2025-07-24,,,,,
71437,76.734.751-0,COMERCIAL,NAL,LIMITADA,2025-07-24,,
71438,76.918.840-1,JOHN,FLEMING,INGENIERIA,GEOMATICA,EIRL,2025-07-24
71439,77.639.687-7,CASA,MADERA,&,RAME,LIMITADA,2025-07-24
71440,77.443.534-4,JJ,CONSTRUCCIONES,SPA,2025-07-24,,
SERVICIOS,Y,ARRIENDO,DE,MAQUINARIAS,J&C,,
71441,77.339.191-2,2025-07-24,,,,,
71442,76.734.803-7,INNOVA,FOMENTA,SPA,2025-07-24,,
CENTRO,DE,APRENDIZAJE,E,INVESTIGACIÓN,,,
71443,77.452.273-5,2025-07-24,,,,,
