Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
78.200.257-0,CLEAN,UP,SPA,2025-07-24,,,
106533,78.201.998-8,PENDONES,LED,SUR,SPA,2025-07-24,
106534,78.204.003-0,NEUMAXPARTS,SPA,2025-07-24,,,
106535,78.204.161-4,2025-07-24,,,,,
106536,78.205.741-3,V&R,LIMITADA,2025-07-24,,,
106537,78.208.268-K,2025-07-24,,,,,
106538,78.209.678-8,MF,&,F,GROUP,SPA,2025-07-24
106539,78.286.830-6,MEDRANO,Y,COMPANIA,2025-07-24,,
106540,78.297.040-2,2025-07-24,,,,,
VOJNOVIC,ORMENO,Y,,,,,
106541,78.321.030-4,2025-07-24,,,,,
106542,78.323.900-0,VERKRUISEN,Y,2025-07-24,,,
