Campo_1,Campo_2,Campo_3,Campo_4,Campo_5
77.515.038-6,MONZA,SPA,2025-07-24,
COMERCIAL,ARIAS,SAID,,
72869,77.532.399-K,2025-07-24,,
72870,76.424.603-9,Armonica,Limitada,2025-07-24
72871,77.989.561-0,2025-07-24,,
72872,77.453.915-8,2025-07-24,,
72873,77.515.568-K,2025-07-24,,
72874,76.989.821-2,2025-07-24,,
72875,77.412.019-K,2025-07-24,,
OUTLET,SEA,GARDEN,,
72876,76.424.629-2,2025-07-24,,
72877,77.990.833-K,2025-07-24,,
INGENIERIA,ELECTRICA,E-,,
72878,76.807.309-0,2025-07-24,,
ORIZA,MINDER,SANTINI,E.,
