Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
81001,77.814.684-3,2025-07-24,,,,,,,,
BASCUR,ANDRADE,E.I.R.L.,,,,,,,,
81002,76.819.396-7,CAPACITACIÓN,2025-07-24,,,,,,,
81003,77.786.987-6,DISTRIBUIDORA,SANPINI,2025-07-24,,,,,,
81004,77.815.303-3,INARI,MEDICAL,CHILE,SPA,2025-07-24,,,,
MUEBLERIA,Y,VIDRIERIA,,,,,,,,
81005,77.824.446-2,2025-07-24,,,,,,,,
EL,MAGO,SPA,,,,,,,,
81006,77.878.513-7,INNOVATECH,SPA,2025-07-24,,,,,,
81007,77.815.501-K,JAICRI,LIMITADA,2025-07-24,,,,,,
81008,77.841.452-K,GOP,SPA,2025-07-24,,,,,,
81009,76.819.413-0,2025-07-24,,,,,,,,
IVETTE,SILVA,MUÑOZ,E.I.R.,,,,,,,
81010,77.972.054-3,RDS,INDUSTRIALS,SPA,2025-07-24,,,,,
