Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
99083,AGRICOLA,Y,GANADERA,,,,,
ESTANCIA,RIO,CISNES,LIMITADA,,,,,
99084,78.082.703-3,OCTACLIMA,SPA,2025-07-24,,,,
99085,96.516.970-9,PASO,S,S,A,2025-07-24,,
99086,78.084.295-4,INVERSIONES,HORCAB,SPA,2025-07-24,,,
99087,96.517.470-2,LABORATORIO,MAGALLANES,S,A,2025-07-24,,
99088,78.084.818-9,AIGENTZ,SPA,2025-07-24,,,,
99089,96.528.140-1,CONSTRUCTORA,L,Y,D,S,A,2025-07-24
99090,78.085.401-4,2025-07-24,,,,,,
Y,UNO,SPA,,,,,,
99091,96.550.960-7,SODEXO,SERVICIOS,S.A.,2025-07-24,,,
99092,78.085.612-2,VOLITIVA,TEATRAL,SPA,2025-07-24,,,
99093,78.085.651-3,SUBLI,TERRA,SPA,2025-07-24,,,
99094,96.551.380-9,EDUCACTIVA,S.A.,2025-07-24,,,,
