Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
77.475.455-5,MARINES,SUPPLY,SPA,2025-07-24,,,
71907,77.955.905-K,INGENIERIA,Y,LABORATORIO,GEOTECNICO,SPA,2025-07-24
71908,76.756.471-6,DISTRIBUIDORA,RUKY,LIMITADA,2025-07-24,,
71909,76.950.118-5,CBS,FARMACÉUTICA,SPA,2025-07-24,,
71910,77.373.337-6,SERVICIOS,DE,ELECTRICIDAD,ELESS,LIMITADA,2025-07-24
71911,77.957.652-3,KELTRONIC,SPA,2025-07-24,,,
71912,77.405.055-8,SERVICIOS,INTEGRADOS,RMA,SPA,2025-07-24,
ACADEMIA,DE,MÚSICA,Y,ESTUDIO,DE,,
71913,77.370.291-8,2025-07-24,,,,,
PRODUCCIÓN,ANCRIS,LIMITADA,,,,,
71914,77.475.599-3,SERVICIOS,GENERALES,JBS,SPA,2025-07-24,
71915,77.957.676-0,INVERSIONES,VULKANO,SPA,2025-07-24,,
BANQUETERIA,CAMILA,BELÉN,ORELLANA,,,,
71916,77.407.411-2,2025-07-24,,,,,
71917,76.379.738-4,AUTOMOTRIZ,COVEMA,LIMITADA,2025-07-24,,
