Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
76.952.012-0,TECNOLOGÌA,Y,2025-07-24,,,
SEGURIDAD,NFR,SPA,,,,
INGENIERIA,DE,SISTEMAS,,,,
72428,77.525.814-4,2025-07-24,,,,
72429,76.779.282-4,2025-07-24,,,,
72430,77.972.586-3,2025-07-24,,,,
72431,77.678.069-3,2025-07-24,,,,
72432,76.402.971-2,PRODUCTOS,DE,ASEO,2025-07-24,
KIPREOS,INGENIEROS,S.,,,,
72433,77.431.100-9,2025-07-24,,,,
72434,77.392.800-2,2025-07-24,,,,
72435,77.972.721-1,VIC,SEGURIDAD,SPA,2025-07-24,
72436,77.680.312-K,2025-07-24,,,,
EL,AROMO,SPA,,,,
72437,76.403.793-6,FULLCONECTADO,SPA,2025-07-24,,
