Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
103832,INVERSIONES,CHRISTIAN,,,,
103833,76.852.529-3,2025-07-24,,,,
SERVICIOS,MEDICOS,R&J,,,,
103834,76.852.929-9,2025-07-24,,,,
103835,76.853.412-8,POTENCIACUSTICA,SPA,2025-07-24,,
103836,76.853.642-2,2025-07-24,,,,
103837,76.853.653-8,2025-07-24,,,,
XIMENA,ZUÑIGA,E.I.R.L.,,,,
103838,76.855.377-7,2025-07-24,,,,
103839,76.855.780-2,ACUNA,Y,SALINAS,LTDA,2025-07-24
103840,76.855.923-6,SUNWIND,ENERGY,SPA,2025-07-24,
GESTION,DE,RESIDUOS,,,,
103841,76.856.641-0,2025-07-24,,,,
103842,76.857.075-2,EQUIPAMIENTO,LESMAN,2025-07-24,,
