Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
77.429.681-6,ELÉCTRICOS,2025-07-24,,,,
83375,77.932.019-7,NEXAGLOBAL,SPA,2025-07-24,,
83376,77.982.072-6,LBE,SPACIOS,CHILE,SPA,2025-07-24
83377,77.932.472-9,YANINI,SPA,2025-07-24,,
83378,78.063.418-9,KERZ,SOLUCIONES,SPA,2025-07-24,
83379,77.940.694-6,MAESTRANZA,V&V,SPA,2025-07-24,
83380,77.922.762-6,UNIBOX,SPA,2025-07-24,,
TRANSPORTES,SAN,JUAN,,,,
83381,77.982.186-2,2025-07-24,,,,
83382,77.932.688-8,WWW.ESCALADA.CL,SPA,2025-07-24,,
83383,77.982.431-4,2025-07-24,,,,
83384,77.941.018-8,SGS,SPA,2025-07-24,,
