Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
UNIFORMES,CONSTANZA,SILVA,ARANDA,EIRL,2025-07-24,,,
75180,PUMANQUE,SPA,2025-07-24,,,,,
75181,INVERSIONES,ROCA,SPA,2025-07-24,,,,
75182,CALEM,SPA,2025-07-24,,,,,
75183,REPUESTOS,MCA,SPA,2025-07-24,,,,
75184,WIAJEROS,SPA,2025-07-24,,,,,
75185,VOLCÁN,SUABO,INVERSIONES,SPA,2025-07-24,,,
75186,EMPRESA,CONSTRUCTORA,GRUPO,SIGNA,SPA,2025-07-24,,
75187,GESTION,PRO,VIVIENDA,LIMITADA,2025-07-24,,,
75188,COMERCIAL,ZS,CONECTA,SPA,2025-07-24,,,
77.557.674-,SERVICIOS,DE,ARRIENDOS,DANIEL,IGNACIO,MELLA,PEREZ,E.I.
75190,COMERCIALIZADORA,GONCHA,SPA,2025-07-24,,,,
