Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
54001,78.102.053-2,CLIMATIZAMOS,SPA,2025-07-24,,,,,,
54002,76.948.138-9,2025-07-24,,,,,,,,
54003,76.672.526-0,GESTIÓN,CULTURAL,2025-07-24,,,,,,
LORENA,PAOLA,ARÁN,,,,,,,,
54004,78.102.693-K,ARTIFICIAL,2025-07-24,,,,,,,
INTELLIGENCE,CHILE,SPA,,,,,,,,
BAÑOS,MÓVILES,DE,,,,,,,,
54005,76.628.704-2,2025-07-24,,,,,,,,
54006,76.672.599-6,2025-07-24,,,,,,,,
floreria,dedos,verdes,,,,,,,,
54007,76.660.936-8,2025-07-24,,,,,,,,
54008,76.106.180-1,2025-07-24,,,,,,,,
54009,76.949.073-6,A.,PAZ,SPA.,2025-07-24,,,,,
54010,78.103.545-9,EPITECH,SPA,2025-07-24,,,,,,
