Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
79761,T&K,SERVICIOS,GENERALES,,,,
79762,77.726.898-8,INVERSIONES,VRG,SPA,2025-07-24,,
79763,77.777.141-8,2025-07-24,,,,,
MUEBLES,UMANO,LIMITADA,,,,,
79764,77.827.596-1,2025-07-24,,,,,
INVERSIONES,SANTA,MARIA,,,,,
79765,77.727.096-6,2025-07-24,,,,,
79766,77.785.288-4,TRANSPORTES,VILARE,SPA,2025-07-24,,
79767,77.828.034-5,SEGUTRONICA,SPA,2025-07-24,,,
INSTITUTO,DE,ARTES,,,,,
79768,77.762.561-6,ESCENICAS,Y,DE,LAS,ARTES,2025-07-24
AR,SERVICIOS,LOGÍSTICOS,,,,,
79769,77.727.509-7,2025-07-24,,,,,
79770,77.777.803-K,CONSTRUCCIÓN,SAN,2025-07-24,,,
TRASPORTES,Y,RESIDUOS,,,,,
79771,77.189.231-0,2025-07-24,,,,,
ECO,CHILE,SPA,,,,,
