Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
77.945.418-5,ELECTRICAS,VOLTISUR,2025-07-24,,,,
CONTRATISTA,EN,FIBRA,,,,,
82572,76.894.963-8,DE,VIDRIO,Y,OBRAS,J&D,2025-07-24
SERVICIO,TECNICO,GMR,,,,,
82573,78.027.632-0,2025-07-24,,,,,
82574,77.947.854-8,JHON,INNOVA,SPA,2025-07-24,,
82575,77.891.896-K,TRANSPORTES,VIYO,SPA,2025-07-24,,
ASESORÍAS,Y,SERVICIOS,,,,,
82576,77.904.387-8,2025-07-24,,,,,
82577,77.945.608-0,2025-07-24,,,,,
82578,77.891.911-7,LÁPIDAS,TOME,SPA,2025-07-24,,
82579,76.895.387-2,CONSTRUCCION,Y,2025-07-24,,,
82580,77.904.412-2,TECMAN,SPA,2025-07-24,,,
82581,77.946.517-9,JK,PINTURAS,SPA,2025-07-24,,
