Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
56507,BUSES,SENDA,SUR,,,,
56508,77.362.109-8,LOCKY,SPA,2025-07-24,,,
56509,76.226.237-1,E,INVERSIONES,M,&,B,2025-07-24
56510,76.755.389-7,AGRÍCOLA,UMBRELLA,2025-07-24,,,
56511,77.042.981-1,MASTERLAW,CORP,SPA,2025-07-24,,
SOC,ADM,DE,SALAS,,,,
CUNAS,Y,JARDINES,,,,,
56512,76.226.310-6,2025-07-24,,,,,
56513,76.815.489-9,PROFESIONALES,CHILE,2025-07-24,,,
56514,76.755.872-4,2025-07-24,,,,,
56515,78.157.784-7,COMERCIALIZADORA,2025-07-24,,,,
56516,76.411.680-1,TELECOMMUNICATIONS,S.,2025-07-24,,,
