Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
96.784.270-2,INTERGAS,S,A,2025-07-24,,,,
102279,96.784.840-9,HANDEL,SPA,2025-07-24,,,,
102280,96.792.430-K,Sodimac,S.A.,2025-07-24,,,,
102281,96.794.750-4,2025-07-24,,,,,,
INTEGRALES,S,A,,,,,,
SERVICIOS,Y,PROYECTOS,,,,,,
102282,96.799.790-0,2025-07-24,,,,,,
AMBIENTALES,S,A,,,,,,
EMPRESAS,DMG,SOCIEDAD,,,,,,
102283,96.803.690-4,2025-07-24,,,,,,
PSICUS,Consultoría,y,,,,,,
102284,96.843.990-1,2025-07-24,,,,,,
102285,96.847.880-K,2025-07-24,,,,,,
102286,96.868.840-5,BOURRASSE,CHILE,S.A,2025-07-24,,,
GESTION,Y,SISTEMAS,,,,,,
102287,96.873.490-3,2025-07-24,,,,,,
102288,96.887.830-1,T,V,CABLE,LONCOMILLA,S,A,2025-07-24
INVERSIONES,LAS,LUCES,S,,,,,
102289,96.888.470-0,2025-07-24,,,,,,
