Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
WINDOWS,CRUZ,SPA,2025-07-24,,,,,
75597,VALBIA,"SOLUCIONES,",SPA,2025-07-24,,,,
77.081.593-,SOCIEDAD,DE,ACTIVIDADES,DE,CAPACITACION,Y,,
2,CONSULTORIAS,LEAN,SIGMA,LIMITADA,,,,
SOCIEDAD,COMERCIAL,"INMOBILIARIA,","CONSTRUCCION,",,,,,
75599,FABRICACION,DE,ESTRUCTURAS,METALICAS,Y,PRODUCTORA,2025-07-24,
DE,EVENTOS,LIGHTNING,COMPANY,LIMITADA,,,,
75600,COVE,MULTISERVICIOS,E,INGENIERIA,SPA,2025-07-24,,
75601,EALFABRA,SPA,2025-07-24,,,,,
75602,PIXELATE,SPA,2025-07-24,,,,,
75603,TESLA,ASCENSORES,LIMITADA,2025-07-24,,,,
75604,INGENIERIA,PROYECTOS,Y,SEGURIDAD,LOBOS,GONZALEZ,SPA,2025-07-24
75605,CONSTRUCTORA,JUAN,M.,RINGLER,E.I.R.L.,2025-07-24,,
75606,CLINICA,ATACAMA,SOCIEDAD,POR,ACCIONES,2025-07-24,,
