Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
80364,Inquest,Chile,Consultores,,,
BLANCO,Y,QUIÑONES,,,,
80365,77.814.508-1,2025-07-24,,,,
DIALISIS,Y,LABORATORIO,,,,
80366,77.230.990-2,2025-07-24,,,,
Y,DE,CAPACITACION,,,,
80367,77.866.572-7,2025-07-24,,,,
ARANGUIZ,&,PAREDES,,,,
80368,77.814.697-5,SAN,BOSTON,SPA,2025-07-24,
VM,GROUP,CONSULTING,,,,
80369,77.231.592-9,2025-07-24,,,,
80370,77.946.683-3,2025-07-24,,,,
DISTRIBUIDORA,DE,GAS,,,,
80371,77.757.368-3,2025-07-24,,,,
RAMIREZ,CARDENAS,E.I.,,,,
ALARMAS,PROTECCION,Y,,,,
80372,77.789.450-1,TECNOLOGIAS,Y,2025-07-24,,
80373,76.791.476-8,BOLIVAR,MOISES,LUNA,2025-07-24,
80374,77.173.048-5,DANK,SPA,2025-07-24,,
