Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
77.379.216-K,TRANSPORTE,TRANS,SAN,"PABLO,",LIMITADA,2025-07-24,,
71505,77.641.568-5,FAJARDO,&,CO,SPA,2025-07-24,,
71506,76.363.597-K,Ultra,Print,SpA,2025-07-24,,,
71507,76.932.177-2,INGENIERIA,PUNTO,ZERO,SPA,2025-07-24,,
71508,77.354.644-4,MUEBLES,OFIFLEX,SPA,2025-07-24,,,
71509,77.379.442-1,WESLEY,CLOVER,SERVICES,SOUTH,AMERICA,SPA,2025-07-24
71510,77.447.458-7,NOOVUS,CHILE,SPA,2025-07-24,,,
SOCIEDAD,PANO,DISTRIBUCION,Y,LOGISTICA,,,,
71511,76.923.035-1,2025-07-24,,,,,,
71512,76.933.495-5,GRUPO,MAUPPER,SPA,2025-07-24,,,
71513,77.379.975-K,AQUARIALEBEN,SPA,2025-07-24,,,,
71514,77.641.979-6,CONVAL,SPA,2025-07-24,,,,
71515,76.736.079-7,AGRÍCOLA,Y,GANADERA,LA,TOPERA,SPA,2025-07-24
