Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
60001,76.967.991-K,I-SERVICE,SPA,2025-07-24,,,,,,
60002,77.148.541-3,FULLSERVICE,SPA,2025-07-24,,,,,,
60003,76.882.747-8,RUBEN,ESPINOZA,SPA,2025-07-24,,,,,
CASMUSAN,LIMPIA,FOSAS,,,,,,,,
60004,76.913.807-2,2025-07-24,,,,,,,,
"CONSULTORIA,",ESTUDIOS,Y,,,,,,,,
60005,76.149.573-9,SERVICIOS,MANUEL,LOBOS,2025-07-24,,,,,
"INFANTE,",EMPRESA,INDIVI,,,,,,,,
60006,76.968.556-1,LEX,DEFENSORES,SPA,2025-07-24,,,,,
INSTITUTO,CHILENO,PARA,,,,,,,,
60007,77.148.663-0,EL,NEURODESARROLLO,Y,2025-07-24,,,,,
60008,76.934.442-K,JC,BANQUETERÍA,SPA,2025-07-24,,,,,
60009,76.914.287-8,CN,COMPANY,SPA,2025-07-24,,,,,
60010,88.754.400-K,FILMOARTE,LIMITADA,2025-07-24,,,,,,
60011,76.968.769-6,2025-07-24,,,,,,,,
