Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
94001,77.755.587-1,ESTREMECER,SPA,2025-07-24,,,,,,
HIDRAULICA,MOVIL,E,,,,,,,,
94002,77.755.631-2,2025-07-24,,,,,,,,
94003,77.756.371-8,HC,PARTNER,SPA,2025-07-24,,,,,
94004,77.756.417-K,FOSAL,SPA,2025-07-24,,,,,,
94005,77.756.751-9,LOS,CANELOS,SPA,2025-07-24,,,,,
94006,77.756.869-8,BELSAL,SPA,2025-07-24,,,,,,
94007,77.758.340-9,CAPACITACION,2025-07-24,,,,,,,
94008,77.589.778-3,GLENY,BAUTISTA,CUSI,E.I.,2025-07-24,,,,
94009,77.590.265-5,2025-07-24,,,,,,,,
CÁRDENAS,CARRASCO,E.,,,,,,,,
LUCY,DEL,CARMEN,,,,,,,,
94010,77.759.075-8,2025-07-24,,,,,,,,
