Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
58371,EMPRESA,CONSTRUCTORA,LUENGO,,,,
Y,MORALES,LTDA.,,,,,
INGENIERIA,DE,PROYECTOS,EN,,,,
58372,76.894.770-8,OBRAS,CIVILES,SAMUEL,FUENTES,2025-07-24,
SERVICIOS,DE,PROCESAMIENTO,Y,,,,
58373,76.880.908-9,2025-07-24,,,,,
ANÁLISIS,DE,INFORMACI,,,,,
58374,77.093.414-1,ORBECRECE,SPA,2025-07-24,,,
58375,76.820.953-7,2025-07-24,,,,,
58376,76.907.061-3,TRIMART,SPA,2025-07-24,,,
MARCOS,JAVIER,GALLARDO,AVILA,,,,
58377,76.881.656-5,2025-07-24,,,,,
58378,77.093.659-4,COMERCIAL,INTERMEDIA,SPA,2025-07-24,,
58379,76.821.749-1,INVERSIONES,VICMAR,SPA,2025-07-24,,
58380,76.861.640-K,MUEBLES,MIGAL,LTDA,2025-07-24,,
58381,76.907.345-0,OTRO,MUNDO,SPORT,CENTER,SPA,2025-07-24
58382,76.077.718-8,AVIAREPS,CHILE,LIMITADA,2025-07-24,,
