Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
77.057.366-1,PIXARRON,SPA,2025-07-24,,,,,
87842,78.156.762-0,CASSASOLAR,SPA,2025-07-24,,,,
87843,79.862.960-3,EL,ARTE,DE,VESTIR,S,A,2025-07-24
87844,77.657.851-7,2025-07-24,,,,,,
RED,MENTOR,CAPACITA,,,,,,
87845,78.141.391-7,2025-07-24,,,,,,
CHILCA,FORMACIÓN,Y,,,,,,
87846,78.115.204-8,CAPACITACIONES,2025-07-24,,,,,
PRODUCCIONES,BREAD,&,,,,,,
87847,77.658.049-K,2025-07-24,,,,,,
87848,78.141.792-0,2025-07-24,,,,,,
87849,78.115.289-7,AUDIOVISUAL,RICARDO,2025-07-24,,,,
87850,77.658.240-9,2025-07-24,,,,,,
SERVI,INTEGRALES,Y,,,,,,
87851,78.090.935-8,2025-07-24,,,,,,
MANTENCION,FQF,SPA,,,,,,
