Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
78.175.762-4,IRONTEKK,SPA,2025-07-24,,,
HEINFEL,OBRAS,CIVILES,Y,,,
98046,77.843.975-1,2025-07-24,,,,
98047,78.175.926-0,FAMILY,GIFT,SPA,2025-07-24,
98048,78.175.929-5,2025-07-24,,,,
98049,78.176.092-7,GASTRONOMICA,AGUAYO,2025-07-24,,
98050,77.843.983-2,2025-07-24,,,,
98051,77.844.433-K,2025-07-24,,,,
98052,78.178.437-0,IA,GEOCIENCIAS,SPA,2025-07-24,
AME,GLOBAL,SOLUTION,,,,
98053,78.178.675-6,2025-07-24,,,,
98054,78.178.689-6,2025-07-24,,,,
98055,78.184.001-7,2025-07-24,,,,
