Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
76.745.468-6,ACROSS,SPA,2025-07-24,,,,,
71694,76.942.089-4,Beatriz,Sur,Confecciones,SPA,2025-07-24,,
71695,76.374.079-K,Sociedad,Comunicacional,y,Creativa,TL,Limitada,2025-07-24
EMPRESA,CONSTRUCTORA,JOAQUIN,ARIEL,,,,,
71696,76.745.815-0,2025-07-24,,,,,,
SAAVEDRA,DIAZ,E,,,,,,
71697,77.464.925-5,KAFRA,SERVICIOS,SPA,2025-07-24,,,
71698,77.361.637-K,DISEÑARTE,IQUIQUE,LIMITADA,2025-07-24,,,
71699,76.942.408-3,TUCAN,PUBLICIDAD,SPA,2025-07-24,,,
71700,76.747.042-8,VECTOR,INGENIERÍA,CIVIL,SPA,2025-07-24,,
71701,77.390.912-1,MURIENTE,Y,CERGNAR,ASESORÍAS,LIMITADA,2025-07-24,
CONSULTORÍA,Y,TURISMO,INSPIRA,PATAGONIA,,,,
71702,76.943.493-3,2025-07-24,,,,,,
71703,77.645.324-2,JMONFER,SPA,2025-07-24,,,,
71704,77.946.943-3,KIMMY,PUBLICIDAD,SPA,2025-07-24,,,
