Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
DISEÑO,",",FABRICACION,Y,CAPACITACION,,,,
77.463.335-9,VALENTINA,MALDONADO,EMPRESA,INDIVIDUAL,2025-07-24,,,
DE,RESPONSABILIDAD,LIMITADA,,,,,,
71884,77.651.911-1,SOM,SECURITY,SPA,2025-07-24,,,
71885,77.369.106-1,JIMÉNEZ,Y,COHN,EDICIONES,LIMITADA,2025-07-24,
71886,76.378.768-0,Conciencia,en,tecnología,de,información,SPA,2025-07-24
71887,77.955.549-6,CITADEL,CONSTRUCTORA,SPA,2025-07-24,,,
71888,77.503.798-9,GRUPO,METROWAN,TELECOM,SPA,2025-07-24,,
71889,76.947.751-9,NODOSUR,CONSULTORES,LTDA.,2025-07-24,,,
71890,77.369.694-2,CRISFER,SPA,2025-07-24,,,,
71891,77.955.575-5,AS,INGENIERIA,ELECTRICA,SPA,2025-07-24,,
71892,77.465.208-6,BARINGER,SPA,2025-07-24,,,,
71893,77.368.919-9,GEARBOX,SERVICE,SPA,2025-07-24,,,
