Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.442.346-K,INVERSIONES,ALTOS,DE,2025-07-24,,
93101,99.514.070-5,SURGRAFIC,S.A.,2025-07-24,,
INGENIERIA,GESTION,Y,,,,
93102,96.938.860-K,CONTROL,SOCIEDAD,2025-07-24,,
93103,77.442.579-9,TACSOL,SPA,2025-07-24,,
93104,96.941.720-0,ICONSTRUYE,SA,2025-07-24,,
93105,77.443.009-1,SALVADOR,LASTRA,2025-07-24,,
93106,96.945.000-3,ATSA,CHILE,S,A,2025-07-24
93107,96.947.980-K,2025-07-24,,,,
93108,77.443.420-8,2025-07-24,,,,
IMP,Y,EXP,DE,,,
93109,99.539.070-1,PRODUCTOS,2025-07-24,,,
TECNOLOGICOS,S,A,,,,
93110,99.541.730-8,Collect,S.A.,2025-07-24,,
