Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
61820,77.032.136-0,2025-07-24,,,,,
61821,76.617.256-3,PRODUCCIONES,2025-07-24,,,,
V,Y,R,SERVICIOS,,,,
61822,76.224.388-1,2025-07-24,,,,,
61823,77.024.417-K,SERVICIOS,B,&,G,SPA,2025-07-24
JB,OBRAS,Y,,,,,
61824,78.171.125-K,2025-07-24,,,,,
61825,77.032.503-K,COMERCIALIZADORA,LAS,2025-07-24,,,
CECILIA,DEL,ROSARIO,,,,,
61826,7.626.022-2,2025-07-24,,,,,
61827,76.469.026-5,2025-07-24,,,,,
61828,76.945.383-0,NOT,MEDIA,SPA,2025-07-24,,
