Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
71216,EMPRENDIMIENTO,SOCIAL,E,INDUSTRIAL,,,,
"CONSTRUCCION,",MANTENCION,E,INSTALACIONES,,,,,
71217,77.328.371-0,2025-07-24,,,,,,
ELECTRICAS,DAJOS,SPA,,,,,,
NEUROCAVO,"IMPORTADORA,",DISTRIBUIDORA,Y,,,,,
71218,77.338.987-K,2025-07-24,,,,,,
71219,77.478.624-4,AUTOMOTRIZ,MAULE,SPA,2025-07-24,,,
COMIDAS,"PREPARADAS,",MARIZA,REINUN,FLORES,,,,
71220,77.429.288-8,EMPRESA,INDIVIDUAL,DE,RESPONSABILIDAD,2025-07-24,,
FERRETERIA,RAMON,ALFONSO,LARA,JELDRES,E.I.,,,
71221,76.726.061-K,2025-07-24,,,,,,
71222,77.447.370-K,COMERCIAL,E,INVERSIONES,SERVICID,LIMITADA,2025-07-24,
SERVICIOS,ODONTOLOGICOS,ALEJANDRO,,,,,,
71223,77.928.431-K,2025-07-24,,,,,,
JAVIER,GOMEZ,ULLOA,E.I.R.L.,,,,,
71224,77.429.651-4,IMPRESIONES,PRINTER,EXPRESS,SPA,2025-07-24,,
71225,77.629.962-6,SOCIEDAD,DELICIAS,DE,EL,TEBAL,LIMITADA,2025-07-24
71226,77.328.475-K,ANDES,INVESTMENTS,ARICA,S.A.,2025-07-24,,
71227,77.928.658-4,MYS,SERVICIOS,INTEGRALES,SPA,2025-07-24,,
