Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
75119,77.554.796-,CONSULTORIA,CORPOREMENTE,CRISTIAN,MARCELO,SOTO,
0,BAEZ,E.I.R.L.,,,,,
75120,RENE,VILCHES,INGENIERÍA,Y,CONSTRUCCIÓN,E.I.R.L.,2025-07-24
75121,ALVARO,2025-07-24,,,,,
75122,GLOBAL,CONECTION,SPA,2025-07-24,,,
75123,METAINER,SPA,2025-07-24,,,,
75124,Pewman,Consultores,2025-07-24,,,,
75125,SERVICIOS,MEDICOS,INTEGRALES,MYD,LIMITADA,2025-07-24,
75126,MARTINEZ,CONSTRUCCIONES,SPA,2025-07-24,,,
75127,COMUNICACIONES,AYSEN,AHORA,SPA,2025-07-24,,
75128,QUIMAT,SPA,2025-07-24,,,,
75129,GENESIS,SPA,2025-07-24,,,,
75130,ERC,MAQUINARIAS,SPA,2025-07-24,,,
