Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
82604,78.028.485-4,TORMENTA,BAR,2025-07-24,
82605,77.905.283-4,TOSIMVAS,SPA,2025-07-24,
INVERSIONES,PARRA,Y,,,
82606,77.948.038-0,2025-07-24,,,
82607,77.376.028-4,TEXES,SPA,2025-07-24,
DURAN,Y,ZULETA,,,
82608,76.897.343-1,SERVICIOS,JURÍDICOS,2025-07-24,
82609,77.948.238-3,CR,ENTERTAINMENT,SPA,2025-07-24
82610,77.947.262-0,2025-07-24,,,
82611,76.897.891-3,8020,INVERSIONES,SPA,2025-07-24
82612,77.905.578-7,ALMA,MAGIC,SPA,2025-07-24
82613,77.860.711-5,ALEJANDRA,CAROLINA,2025-07-24,
NOVOA,JARA,E.I.R.L.,,,
