Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ASECAL,CONSTRUCCIONES,SPA,2025-07-24,,,,,,
75299,TRANSPORTES,DEL,ESTUARIO,S.A.,2025-07-24,,,,
75300,RODA,SPA,2025-07-24,,,,,,
77.049.689-,SOCIEDAD,COMERCIAL,Y,DE,TURISMO,LOS,TRONCOS,DE,REPIL
75302,SOCIEDAD,PRESTADORA,DE,SERVICIOS,JAYSO,SPA,2025-07-24,,
75303,FALCON,AUSTRAL,HIGH,TECH,SPA,2025-07-24,,,
75304,SEPTIMA,PRODUCCIONES,SPA,2025-07-24,,,,,
75305,M,Y,D,S.A.,2025-07-24,,,,
75306,SERVICIOS,MEDICOS,SANDOVAL,Y,COMPANIA,LIMITADA,2025-07-24,,
75307,INVERSIONES,TORRE,SPA,2025-07-24,,,,,
75308,OCL,SPA,2025-07-24,,,,,,
75309,CENTRO,DE,NUTRICIÓN,Y,SALUD,LACTANCIA,FELÍZ,SPA,2025-07-24
