Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,Razón,Social,,,,,,
MANUFACTURAS,RAC,LIMITADA,2025-07-24,,,,,
75988,CLO,SPA,2025-07-24,,,,,
75989,CIM,E,HIJO,SPA,2025-07-24,,,
76.955.024-,ACTIVIDADES,DE,RESTAURANTES,Y,DE,SERVICIO,MOVIL,DE
0,COMIDAS,CESAR,ECHEVERRIA,E.I.R.L.,,,,
75991,CONSTRUCTORA,G.A.P,SPA,2025-07-24,,,,
75992,PRODUCTORA,ARTÍSTICA,ATHA,LIMITADA,2025-07-24,,,
75993,SERELMAG,SPA,2025-07-24,,,,,
75994,ARCOMA,SPA,2025-07-24,,,,,
75995,WIEGAND,NEXUS,CONSULTING,SPA,2025-07-24,,,
75996,IMPORTADORA,Y,COMERCIALIZADORA,TECNICA,LIMITADA,2025-07-24,,
75997,PETER,GUERRERO,GORIGOITÍA,E.I.R.L.,2025-07-24,,,
75998,EMOJ,CONSULTORA,SPA,2025-07-24,,,,
