Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
TRANSPORTE,Y,AMBULANCIAS,VITAL,SERVICE,S.A.,2025-07-24,,,
75703,ARQUITEPRO,LIMITADA,2025-07-24,,,,,,
75704,CS,SERVICIOS,DE,"SEGURIDAD,",ASEO,Y,CAPACITACIÓN,SPA,2025-07-24
75705,CENTRO,RADIOLOGICO,CENTRAL,LIMITADA,2025-07-24,,,,
75706,SERVICIOS,MEDICOS,GARCIA,LORENZO,SPA,2025-07-24,,,
75707,ASESORÍAS,A,EMPRESAS,EMPOWERBIZ,EBMVS,GROUP,SPA,2025-07-24,
75708,SOCIEDAD,COMERCIAL,OLIVERA,MOTORS,LIMITADA,2025-07-24,,,
75709,SERVIVAL,SPA,2025-07-24,,,,,,
75710,INGENIERÍA,ELÉCTRICA,GUTIERREZ,&,HIJOS,SPA,2025-07-24,,
75711,Agrofrutillas,San,Pedro,S.A.,2025-07-24,,,,
75712,QUALITY,CARE,SPA,2025-07-24,,,,,
75713,FIGUEROA,INSTALACIONES,SPA,2025-07-24,,,,,
