Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,,,
77.362.273-6,EMPRESA,DE,TRANSPORTES,PRO,SPA,2025-07-24,
71730,77.498.422-4,COMERCIALIZADORA,LUXAR,SPA,2025-07-24,,
71731,76.930.221-2,IFT,LIMITADA,2025-07-24,,,
CERRAJERIA,LEONEL,ENRIQUE,RIVEROS,LEYTON,,,
71732,77.453.382-6,EMPRESA,INDIVIDUAL,DE,RESPONSABILIDAD,2025-07-24,
71733,77.392.251-9,LA,DESPENSA,ÑAÑAWEN,SPA,2025-07-24,
SERVICIOS,PROFESIONALES,SEBASTIÁN,PLAZA,E.,,,
71734,77.646.698-0,2025-07-24,,,,,
SOLUCIONES,EN,CAPITAL,HUMANO,E,,,
71735,77.950.822-6,2025-07-24,,,,,
71736,76.748.311-2,INGENIERIA,MODERNA,DE,CONSTRUCCION,SPA,2025-07-24
71737,77.360.070-8,ALTAVISION,PRODUCCIONES,LIMITADA,2025-07-24,,
SOCIEDAD,"COMERCIALIZADORA,","ELABORADORA,",,,,,
71738,77.498.804-1,2025-07-24,,,,,
DISTRIBUIDORA,Y,CAPACITACION,AYNI,SPA,,,
71739,77.467.247-8,COMERCIAL,FABIAN,ORTIZ,SPA,2025-07-24,
71740,77.453.910-7,LIFE,TECHNOLOGIES,CHILE,SPA,2025-07-24,
