Campo_1,Campo_2,Campo_3,Campo_4,Campo_5
54413,COMERCIAL,Y,SERVICIOS,
54414,76.733.547-4,RETAMAL,CAÑAS,2025-07-24
XIMENA,MORENO,SAN,,
54415,76.676.208-5,2025-07-24,,
"EVENTOS,",ASESORIAS,Y,,
VENTA,DE,RE,,
54416,78.097.235-1,2025-07-24,,
54417,78.112.946-1,2025-07-24,,
SERVICIOS,DIGITALES,E,,
54418,76.676.824-5,INGENIERÍA,FRANCISCO,2025-07-24
54419,76.651.163-5,2025-07-24,,
PUNTO,SUR,INGENIERÍA,,
54420,77.304.205-5,2025-07-24,,
RODRIGUEZ,Y,SAAVEDRA,,
54421,76.745.530-5,2025-07-24,,
54422,76.690.205-7,2025-07-24,,
ARAYA,MARDONES,E.I.R.,,
