Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
80001,77.937.308-8,INGEMEDIA,SPA,2025-07-24,,,,,,
80002,77.786.687-7,2025-07-24,,,,,,,,
80003,77.738.836-3,CONSTRUCTORA,2025-07-24,,,,,,,
80004,77.165.337-5,CAPACITACIONES,EMPRE,2025-07-24,,,,,,
80005,77.797.941-8,2025-07-24,,,,,,,,
80006,77.849.052-8,BÁRBARA,GONZÁLEZ,E.I.,2025-07-24,,,,,
80007,77.787.338-5,CLIPS,SPA,2025-07-24,,,,,,
80008,76.778.697-2,DIAFAC,SPA,2025-07-24,,,,,,
80009,77.771.991-2,DE,INSUMOS,DE,2025-07-24,,,,,
80010,77.798.039-4,Y,CONSTRUCCION,JORGE,2025-07-24,,,,,
RIVEROS,NIEVAS,E.I.R.L.,,,,,,,,
