Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
SOCIEDAD,COMERCIAL,Y,,,,
76.979.976-1,GESTIÓN,DEPORTIVA,2025-07-24,,,
62699,77.063.770-8,Pragma,Informatica,S.A.,2025-07-24,
62700,76.996.437-1,CREA-EMPLEO,SPA,2025-07-24,,
62701,76.262.422-2,INFAR,SPA,2025-07-24,,
62702,77.058.067-6,2025-07-24,,,,
Y,FAMILIA,SPA,,,,
62703,96.589.270-2,INVAR,S,A,2025-07-24,
62704,76.977.731-8,2025-07-24,,,,
62705,77.058.092-7,2025-07-24,,,,
62706,76.980.121-9,MEDICAL,WRITING,SPA,2025-07-24,
SPORT,AND,HEALTH,,,,
62707,76.996.964-0,2025-07-24,,,,
SEYMAN,SERVICIOS,Y,,,,
62708,76.654.189-5,MANTENIMIENTO,2025-07-24,,,
