Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
ANGELA,FUENTES,SPA,,,,
81812,77.823.213-8,IMPRENTART,SPA,2025-07-24,,
81813,77.853.963-2,ALLWORK,SPA,2025-07-24,,
81814,77.870.258-4,MUDANZAS,PATAGONIA,2025-07-24,,
24/7,INGENIERÍA,Y,,,,
81815,77.919.305-5,2025-07-24,,,,
81816,77.996.385-3,DISTRIBUIDORA,PUERTO,2025-07-24,,
MUSUL,SEGURIDAD,E.I.R.,,,,
81817,76.858.763-9,2025-07-24,,,,
81818,77.320.562-0,RYCSA,INSUMOS,SPA,2025-07-24,
81819,77.919.399-3,2025-07-24,,,,
81820,77.865.382-6,EA,SYNERGY,SPA,2025-07-24,
diseño,y,produccion,,,,
81821,76.858.850-3,2025-07-24,,,,
