Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
77.941.486-8,KUME,NEWEN,SPA,2025-07-24,
83916,78.091.115-8,2025-07-24,,,
CONTRATISTA,DE,OBRAS,,,
83917,78.004.626-0,INVERSIONES,PPR,SPA,2025-07-24
83918,77.941.560-0,CREATIVELINE,S.P.A,2025-07-24,
83919,77.963.021-8,2025-07-24,,,
83920,77.917.058-6,2025-07-24,,,
CIVILES,RED,CONTRA,,,
83921,78.091.169-7,JSM,CONCEPCION,SPA,2025-07-24
83922,77.963.052-8,JRC,ENGINER,SPA,2025-07-24
83923,77.918.608-3,FRANCISCO,HUENTEMIL,2025-07-24,
83924,78.091.563-3,2025-07-24,,,
SERVICIOS,E,INSUMOS,,,
83925,77.026.296-8,2025-07-24,,,
