Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
75714,77.060.245-,CONSTRUCTORA,RODRIGO,NICOLAS,GONZALEZ,GUERRERO,E.I.,
75715,PROYECTOS,DE,AGUA,SPA,2025-07-24,,,
75716,COMPAÑÍA,TEATRAL,FABIAN,ANDRES,FLORES,RIVERA,E.I.R.L.,2025-07-24
75717,INGENIERÍA,",",SERVICIOS,Y,ABASTECIMIENTO,ISEVEN,LIMITADA,2025-07-24
75718,SOCIEDAD,MEDICA,OLIVARES,MIRANDA,SPA,2025-07-24,,
75719,MVP,MAQUINARIA,SPA,2025-07-24,,,,
75720,VIVERO,CHILLÁN,SPA,2025-07-24,,,,
75721,MULTISERVICIOS,MF,SPA,2025-07-24,,,,
75722,COMERCIAL,VOAG,SPA,2025-07-24,,,,
75723,RIVERA,SALAZAR,LIMITADA,2025-07-24,,,,
75724,SERVICIOS,DE,PUBLICIDAD,PUBLIMAZUELA,SPA,2025-07-24,,
75725,LABORATORIO,DE,IMPRESIÓN,FOTO-GRAFICA,SPA,2025-07-24,,
