Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
SERVICIOS,APOYO,A,,,,
98101,EMPRESAS,CONTROL,DE,,,
AVIARES,MARCO,ORTIZ,,,,
SÁNCHEZ,&,RIFFO,,,,
98102,77.856.064-K,2025-07-24,,,,
98103,77.857.074-2,BIO,STORE,SPA,2025-07-24,
98104,77.857.495-0,AGRO,VETERINARIA,SPA,2025-07-24,
98105,78.195.593-0,GEOINCORP,SPA,2025-07-24,,
98106,77.857.542-6,PRINTING,HOUSE,SPA,2025-07-24,
98107,78.197.923-6,ASISTA,MEDICA,SPA,2025-07-24,
DEIRA,COMPUTACIÓN,Y,,,,
98108,78.198.200-8,2025-07-24,,,,
98109,77.858.055-1,KLAYER,SPA,2025-07-24,,
AGUA,PURIFICADA,CERROS,,,,
98110,78.198.634-8,2025-07-24,,,,
98111,78.199.101-5,CRAFTEA,SPA,2025-07-24,,
