Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
77.855.667-7,PELVIK,SPA,2025-07-24,,,,
81668,96.508.130-5,2025-07-24,,,,,
81669,77.813.091-2,2025-07-24,,,,,
ALFARO,GARCÍA,E.I.R.L.,,,,,
AGRICOLA,Y,COMERCIAL,,,,,
81670,77.864.584-K,2025-07-24,,,,,
81671,77.990.741-4,HVAC,&,INGENIERIA,SPA,2025-07-24,
81672,96.511.800-4,HIDRAGUA,S,A,C,I,2025-07-24
81673,77.908.901-0,2025-07-24,,,,,
81674,77.915.262-6,DISTRIBUIDORA,ARIAS,Y,2025-07-24,,
"CID,",GREENPAL,LIMITADA,,,,,
81675,77.991.278-7,2025-07-24,,,,,
81676,77.846.524-8,2025-07-24,,,,,
ARAYA,DUBÓ,E.I.R.L.,,,,,
SOC,IMPRESORA,Y,,,,,
81677,77.856.210-3,EDITORA,LOS,HEROES,2025-07-24,,
