Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
CONSTRUCTORA,BRUMAN,SPA,2025-07-24,,,,
75393,GUÍA,INSTRUCTORA,ESCALADA,NATALIA,BUGEDO,E.I.R.L.,2025-07-24
75394,TURBOVAR,SPA,2025-07-24,,,,
75395,CONSULTORA,GLOBALLYS,SPA,2025-07-24,,,
75396,GESTIONES,ARTISTICAS,POS,PRODUCCIONES,SPA,2025-07-24,
75397,SOCIEDAD,VENEST,SOLUTIONS,SPA,2025-07-24,,
75398,JOUSKA,PRODUCCIONES,SPA,2025-07-24,,,
75399,SERLIMPRO,SPA,2025-07-24,,,,
75400,CONSTRUCTORA,INGENIERIA,E,INVERSIONES,FYF,LTDA,2025-07-24
75401,ARCLIGHT,SERVICIOS,SPA,2025-07-24,,,
75402,CIVILDENT,SPA,2025-07-24,,,,
75403,INGENIERIA,ROMERO,Y,CIA,LIMITADA,2025-07-24,
