Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
85948,INVERSIONES,POLVORA,,,,,,
SOCIEDAD,DE,SERVICIOS,,,,,,
85949,77.994.265-1,PROFESIONALES,PAGUS,2025-07-24,,,,
85950,78.101.703-5,2025-07-24,,,,,,
85951,78.056.532-2,2025-07-24,,,,,,
85952,77.591.892-6,MARIANA,ARIAS,SPA,2025-07-24,,,
85953,78.102.057-5,2025-07-24,,,,,,
85954,77.994.431-K,UP,FIRE,SPA,2025-07-24,,,
SMA,ATRYS,HEALTH,,,,,,
85955,78.107.524-8,2025-07-24,,,,,,
CHILE,DOS,SPA,,,,,,
85956,78.047.917-5,VIVA,SPA,2025-07-24,,,,
85957,77.994.460-3,C,C,JENSEN,S,L,LIMITADA,2025-07-24
85958,78.108.333-K,FEYNMAN,SPA,2025-07-24,,,,
