Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
38001,77.654.999-1,CRUZAL,SPA,2025-07-24,,,,,,
38002,77.409.789-9,CALEMA,SPA,2025-07-24,,,,,,
38003,77.638.805-K,DMVR,SPA,2025-07-24,,,,,,
38004,76.734.272-1,MINFORMATICS,SPA,2025-07-24,,,,,,
38005,77.655.371-9,VIAJES,RODRIGUEZ,SPA,2025-07-24,,,,,
CLAUDIO,ANDRES,PEREZ,,,,,,,,
38006,76.734.293-4,MORAGA,SERVICIOS,DE,2025-07-24,,,,,
38007,77.655.759-5,2025-07-24,,,,,,,,
38008,76.734.413-9,DE,SEGURIDAD,2025-07-24,,,,,,
38009,76.734.476-7,2025-07-24,,,,,,,,
38010,77.410.940-4,2025-07-24,,,,,,,,
