Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
38176,AMERICA,GROUP,IT,,,,
38177,77.658.699-4,MOI,SERVICIOS,LIMITADA,2025-07-24,,
38178,77.433.193-K,COMERCIAL,V,Y,G,SPA,2025-07-24
38179,76.757.347-2,2025-07-24,,,,,
38180,77.677.536-3,PROFESIONALES,AZ,2025-07-24,,,
38181,77.434.059-9,2025-07-24,,,,,
38182,77.436.829-9,ESTHER,BECERRA,2025-07-24,,,
FABRICA,Y,VENTA,DE,,,,
"MUEBLES,",COMIDA,AL,,,,,
38183,77.677.681-5,2025-07-24,,,,,
PASO,SERGIO,ORLANDO,,,,,
PRADO,COFRE,E.I.R.L.,,,,,
38184,77.437.991-6,RONCONE,Y,DAZA,SPA,2025-07-24,
38185,77.438.013-2,SOCIEDAD,MANDRA,SPA,2025-07-24,,
38186,77.438.128-7,QUVONET,SPA,2025-07-24,,,
