Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
J,&,M,MULTISERVICIOS,SPA,2025-07-24,,,
75037,TRANSPORTES,TOGUITA,SPA,2025-07-24,,,,
75038,CENTRO,DE,INVESTIGACION,PARA,EL,DESARROLLO,LIMITADA,2025-07-24
75039,AUSTRALCAT,SPA,2025-07-24,,,,,
75040,LIVISTER,CHILE,SPA,2025-07-24,,,,
75041,HEYA,SERVICIOS,Y,SEGURIDAD,SPA,2025-07-24,,
75042,ALUMIGLASS,SPA,2025-07-24,,,,,
77.059.548-,ORGANISMO,TÉCNICO,DE,CAPACITACIÓN,LUIS,ADOLFO,PAZ,
7,PÉREZ,E.I.R.L.,,,,,,
75044,MP,MAKER,SPA,2025-07-24,,,,
75045,FUENTES,Y,ASOCIADOS,SPA,2025-07-24,,,
75046,ESP,INGENIERÍA,Y,ARQUITECTURA,SPA,2025-07-24,,
75047,BREVIS,&,MOLINA,SPA,2025-07-24,,,
