Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
105661,77.835.976-6,2025-07-24,,,
105662,77.836.946-K,MULTIPRO,SPA,2025-07-24,
ENKOL,CONSTRUCCION,E,,,
105663,77.837.066-2,2025-07-24,,,
SOC,COMERCIAL,VISION,,,
105664,77.837.400-5,2025-07-24,,,
105665,77.838.764-6,2025-07-24,,,
105666,77.838.821-9,SOLUCIONES,DIAZ,SPA,2025-07-24
105667,77.838.902-9,ERVI,RENTALS,SPA,2025-07-24
105668,77.839.196-1,RYABIKE,SPA,2025-07-24,
105669,77.839.274-7,GC,SUBLIMACIONES,SPA,2025-07-24
105670,77.839.414-6,COMERCIAL,REÑMA,SPA,2025-07-24
105671,77.839.517-7,CLABUJO,SPA,2025-07-24,
